Frog:David, 2011:12/34/3:12678/345678/3:5:0:1:3:2:.2A$A2.A$A2.A!
:Lemon41625, 2020:0256/246/3:02568/2468/3:6:0:4:34:27:10.A4.B3.B4.A$14.2A3.2A$13.A.B3AB.A$10.3A.A5.A.3A$9.B2.ABA5.ABA2.B$7.B.BA13.AB.B$5.B.BABA13.ABAB.B$6.3B.2A11.2A.3B$6.ABA2.A2B7.2BA2.ABA$7.BA.2A.A7.A.2A.AB$2.B.A3BA.2A11.2A.A3BA.B$ABA.A2.3A15.3A2.A.ABA$.A.A3B5.11A5.3BA.A$2.3A.2A.BA.3A.3A.3A.AB.2A.3A$5.2B2.B3A2BAB.BA2B3AB2.2B$5.2A.3A.A9.A.3A.2A$8.A.A.BA3.A3.AB.A.A$4.2AB.B.B2A9.2AB.B.B2A$4.B2.A.3A.BABA.ABAB.3A.A2.B$3.3B3.AB3.2A.A.2A3.BA3.3B$4.BA.A.3BA.ABA.ABA.A3B.A.AB$6.AB3.2AB7AB2A3.BA$5.3AB3.B.3A.3A.B3.B3A$2.B2A2.A5.2A2B.2B2A5.A2.2AB$2.3A10.A.A.A10.3A$4.A2.B19.B2.A$3.AB.BA19.AB.BA$5.A23.A!
:Lemon41625, 2020:246/34/3:024678/345678/3:4:0:2:3:3:AB.B$.2A$4A$.2A!
:Lemon41625, 2020:0246/347/3:02468/3478/3:4:0:1:14:18:7.A$3.BA5.AB$4.2A3.2A$4.AB3ABA$4.A.3A.A$5.BA.AB$B.AB2A3.2ABA.B$.B5AB5AB$AB.A3.A3.A.BA$3.2A.3A.2A$3.2A2.B2.2A$3.2A.BAB.2A$3.9A$5.A.A.A$4.AB3ABA$.2A2.B.A.B2.2A$.2A2.B3.B2.2A$.2A9.2A$2.A.A5.A.A!
:Lemon41625, 2020:2/2/3:245678/25678/3:2:0:1:17:14:5.B.A2.A.B$5.2AB2.B2A$6.A4.A$8.2B$3.B10.B$.AB4.B2AB4.BA$2.2A10.2A$5.BAB2.BAB$4.2A6.2A$5.B.A2.A.B$3.2A.AB2.BA.2A$2.B.B8.B.B$AB.A.BA4.AB.A.BA$.A3.A6.A3.A$2.ABA8.ABA!
:Lemon41625, 2020:0246/347/3:02468/3478/3:6:0:2:13:18:5.B$6.B$4.2A.2A.A$5.2A.A2B$6.BA.A$5.2A2.2A$4.6AB$3.A4.ABA$3.B4.2A$8.BA$2.B2A2.B.BA$.2A.3A2.B3A$B2.B4A4.BA$B2.A.ABA4.2A$4.3AB.A2.2A$.2BA2.A.B4A$2.4A2.2A.A$6.2B3A$6.2A!
:Lemon41625, 2020:14/24/3:14678/24678/3:2:0:1:12:22:2.AB5.BA$.B9.B$.2A7.2A$2.B7AB$2.A.2B.2B.A$3.B.ABA.B$4.A3.A$3.A.A.A.A$3.BABABAB2$4.2AB2A$3.B.3A.B$.B.2A.B.2A.B$2.4A.4A$.AB2.B.B2.BA$.BA2B3A2BAB$2.B7.B$AB2.A3BA2.BA$B.2ABA.AB2A.B$.2AB.B.B.B2A$.A4.A4.A$A.A2.A.A2.A.A$.A4.A4.A!
:Lemon41625, 2020:035678/34/3:035678/348/3:4:0:2:12:11:3.2BABA$3.2A.AB.A$4.4A$4.B3AB$2ABA.3A.AB2A$2.A2.3A2.A$4AB3AB4A$A.B2.3A2.B.A$B2A2B3A2B2AB$.2A2.3A2.2A$3AB5AB3A$3A3.A3.3A!
:Lemon41625, 2020:03567/34/3:035678/3478/3:2:0:1:12:12:.2AB$2BA$A.AB6.BA$.B3A4.2A.B$.3A.BAB.BABA$2.A.2A2.A.A.B$6.A2BA.A$BAB4.2AB3A$A5.BA3.2A$2ABAB2A2.2A$B2A2.B.4A$4AB2ABA$.A3.2A!
:Lemon41625, 2020:35678/34/3:035678/348/3:4:0:1:7:5:2.2A.A$2.AB4A$B.A2.3A$4ABA.B$.4A$B4AB!
:Lemon41625, 2020:0/2/3:0345678/25678/3:2:0:1:6:6:.B4.B$.A4BA2$.2B2A2$A.A$.A!
:Lemon41625, 2020:0/2/3:0345678/25678/3:2:0:1:7:5:2.A2.A$3.2A$.2B2.2B$3.2A$A.A2.A.A$.A4.A!
:Lemon41625, 2020:035/2/3:03578/28/3:3:0:1:29:38:5.B3.BA8.AB3.B$2.B3.2BA.2A6.2A.A2B3.B$3.AB4.B.B6.B.B4.BA$2.AB.2A2.A10.A2.2A.BA$4.A2.A2.BA6.AB2.A2.A$5.5A.B6.B.5A$5.A2.2A10.2A2.A$5.A4.A8.A4.A$9.ABA6.ABA$8.2A.B6.B.2A2$10.A2B4.2BA$10.B8.B$8.B2.BA4BAB2.B$9.2A8.2A$10.B.2B2.2B.B$6.AB.AB.A.2A.A.BA.BA$6.B.A4.B2.B4.A.B$4.B.B.B.ABAB2ABABA.B.B.B$5.A.A2.A3.2B3.A2.A.A$4.ABA.2AB3.2A3.B2A.ABA$7.AB3.A.2A.A3.BA$6.AB.2A2B.2B.2B2A.BA$5.2A3.B2.A2.A2.B3.2A$9.3A2.2A2.3A$7.AB2.A.A2.A.A2.BA$8.BA3.B2AB3.AB$7.B14.B$7.AB2A2.A2.A2.2ABA$10.2A6.2A$4.AB3.2AB.A2.A.B2A3.BA$3.2A3.B.A2.4B2.A.B3.2A$A2.B.2BA.A.AB4.BA.A.A2B.B2.A$.2A2.A2.A3.2B2.2B3.A2.A2.2A$.AB4.B2.2B2.2A2.2B2.B4.BA$2.B.A.A.A2.A.A2.A.A2.A.A.A.B$2A.AB2.B.B10.B.B2.BA.2A$3.A4.A12.A4.A$2.ABA20.ABA!
:Lemon41625, 2020:035678/34/3:035678/348/3:5:0:1:19:18:.A.B4.4A4.B.A$2.3A2.2B2A2B2.3A$3.A.B2.4A2.B.A$3.5A.2A.5A$4.3A.4A.3A$3.6A2B6A$2.2B3A.B2.B.3A2B$5.2A6.2A$5.2AB4.B2A$3.B4A.2A.4AB$4.4AB2AB4A$3.4A.A2.A.4A$3.5A.2B.5A$2.A.5A2.5A.A$2.2B3A6.3A2B$.2A14.2A$3A2B10.2B3A$3A.A10.A.3A$B2.B12.B2.B!
:Lemon41625, 2020:4/24/3:014678/2345678/3:1:0:1:5:3:.B2.B$BA2BAB$6A$2.2A!
:Lemon41625, 2020:135/345/3:135678/345678/3:2:0:1:3:3:AB.B$2.2A$4A$.A!
:Lemon41625, 2020:236/35/3:23678/3578/3:4:1:1:8:7:5.2A$5.2A$6.A$5.B$B.B2A2.B$A.6A$.A2.2A.BA$6.3A!
:Lemon41625, 2020:135/3/3:13568/3678/3:2:0:1:4:4:2.A$A2.B$2A.2A$.3A$.3A!
:Lemon41625, 2020:35/235/3:0135678/2345678/3:1:0:1:6:4:3.B$3BA3B$3A.3A$.2AB2A$2.3A!
:Lemon41625, 2020:35/23/3:0135678/2345678/3:1:0:1:9:5:4.2B$3.B2AB$3BA2.A3B$3A4.3A$.2AB2.B2A$2.2A2.2A!
:Lemon41625, 2020:235/34/3:0235678/34678/3:2:0:1:8:8:.B4.BA$A.A3.A.B$.AB3.3A$.2A3.BAB$.B2.BA.2A$A3.A.BA$.2A2.2A$.5A$3.A!
:Lemon41625, 2020:235/3467/3:2358/34678/3:4:0:2:14:7:7.B.BA$2.B2.ABA3.A$B2.4ABAB.B$4.A.BA2.A.2A$3.A3BA.6A$2A3.AB3A.4A$A2B3A3.2A2BA$.3A7.3A!
:Lemon41625, 2020:4/23/3:014678/2345678/3:1:0:1:5:3:2B2.2B$2A2B2A$.4A$2.2A!
:Lemon41625, 2020:235/346/3:2358/345678/3:6:0:2:7:5:.B4.B2$B6.B$.2A2.2A$2.4A$3.2A!
